ppmOrdering,ppmRepPotus,ppmDemPotus,1M-ppmDemPotus,ppmRepOther,ppmDemOther,1M-ppmDemOther,ppmRepShift,1M-ppmDemShift,totalBallots,locality
 509087, 512302, 471837, 528163, 509087, 456654, 543346,   3215, 984817, 369428,ClarkstonPrecinct1
 509107, 512315, 471845, 528155, 509107, 456621, 543379,   3208, 984776, 368767,BloomfieldHillsPrecinct2
 509273, 512915, 471220, 528780, 509273, 456322, 543678,   3642, 985102, 364356,BirminghamPrecinct8
 509626, 513375, 470757, 529243, 509626, 455943, 544057,   3749, 985186, 362760,BirminghamPrecinct7
 510153, 514154, 469963, 530037, 510153, 455345, 544655,   4001, 985382, 360862,BirminghamPrecinct6
 510371, 508260, 477616, 522384, 510371, 460398, 539602,  -2111, 982782,  48786,CommerceTownshipPrecinct2
 510385, 508831, 477314, 522686, 510385, 460163, 539837,  -1554, 982849,  52766,CommerceTownshipPrecinct4
 510554, 514858, 469251, 530749, 510554, 454861, 545139,   4304, 985610, 358982,BirminghamPrecinct5
 510778, 515746, 468333, 531667, 510778, 454445, 545555,   4968, 986112, 355475,BirminghamPrecinct3
 510838, 515456, 468652, 531348, 510838, 454505, 545495,   4618, 985853, 357250,BirminghamPrecinct4
 511270, 516400, 467670, 532330, 511270, 453925, 546075,   5130, 986255, 354010,BirminghamPrecinct2
 511485, 516934, 467111, 532889, 511485, 453621, 546379,   5449, 986510, 352329,BirminghamPrecinct1
 511492, 517226, 466795, 533205, 511492, 453520, 546480,   5734, 986725, 350672,BerkleyPrecinct7
 512324, 518115, 465923, 534077, 512324, 452679, 547321,   5791, 986756, 349152,BerkleyPrecinct6
 513168, 518924, 465122, 534878, 513168, 451887, 548113,   5756, 986765, 347642,BerkleyPrecinct5
 513534, 511747, 474554, 525446, 513534, 457188, 542812,  -1787, 982634,  54822,CommerceTownshipPrecinct5
 513843, 512460, 473793, 526207, 513843, 456393, 543607,  -1383, 982600,  56379,CommerceTownshipPrecinct6
 513979, 519778, 464274, 535726, 513979, 451070, 548930,   5799, 986796, 346261,BerkleyPrecinct4
 514974, 520754, 463289, 536711, 514974, 450113, 549887,   5780, 986824, 344629,BerkleyPrecinct3
 515822, 524170, 462531, 537469, 515822, 452921, 547079,   8348, 990390,  10302,BloomfieldTownshipPrecinct4
 515858, 521652, 462413, 537587, 515858, 449254, 550746,   5794, 986841, 343104,BerkleyPrecinct2
 516706, 522577, 461521, 538479, 516706, 448398, 551602,   5871, 986877, 341542,BerkleyPrecinct1
 516718, 514852, 471297, 528703, 516718, 453217, 546783,  -1866, 981920,  58409,CommerceTownshipPrecinct7
 517583, 523482, 460628, 539372, 517583, 447531, 552469,   5899, 986903, 339864,AuburnHillsPrecinct9
 517959, 523905, 460216, 539784, 517959, 447132, 552868,   5946, 986916, 338895,AuburnHillsPrecinct8
 518381, 524148, 460247, 539753, 518381, 447515, 552485,   5767, 987268, 308823,WestBloomfieldTownshipPrecinct25
 518589, 524521, 459632, 540368, 518589, 446531, 553469,   5932, 986899, 337683,AuburnHillsPrecinct7
 518609, 524356, 460040, 539960, 518609, 447218, 552782,   5747, 987178, 310779,WhiteLakeTownshipPrecinct1
 518651, 524530, 459844, 540156, 518651, 447222, 552778,   5879, 987378, 307006,WestBloomfieldTownshipPrecinct24
 518783, 524622, 459696, 540304, 518783, 447067, 552933,   5839, 987371, 305397,WestBloomfieldTownshipPrecinct23
 519178, 524888, 459485, 540515, 519178, 446603, 553397,   5710, 987118, 312613,WhiteLakeTownshipPrecinct2
 519367, 517139, 468914, 531086, 519367, 450380, 549620,  -2228, 981466,  60591,CommerceTownshipPrecinct8
 519449, 525106, 459237, 540763, 519449, 446305, 553695,   5657, 987068, 313805,WhiteLakeTownshipPrecinct3
 519536, 525302, 458944, 541056, 519536, 446287, 553713,   5766, 987343, 302995,WestBloomfieldTownshipPrecinct22
 519581, 525481, 458692, 541308, 519581, 445572, 554428,   5900, 986880, 336282,AuburnHillsPrecinct6
 519756, 525412, 458919, 541081, 519756, 445984, 554016,   5656, 987065, 314726,WhiteLakeTownshipPrecinct4
 519816, 525877, 458316, 541684, 519816, 445280, 554720,   6061, 986964, 334439,AuburnHillsPrecinct5
 519989, 525623, 458696, 541304, 519989, 445740, 554260,   5634, 987044, 316599,WhiteLakeTownshipPrecinct5
 520095, 526137, 458061, 541939, 520095, 445005, 554995,   6042, 986944, 333333,AuburnHillsPrecinct4
 520355, 526103, 458245, 541755, 520355, 445277, 554723,   5748, 987032, 318707,WhiteLakeTownshipPrecinct6
 520477, 526208, 457977, 542023, 520477, 445290, 554710,   5731, 987313, 300860,WestBloomfieldTownshipPrecinct21
 520503, 526577, 457644, 542356, 520503, 444640, 555360,   6074, 986996, 332046,AuburnHillsPrecinct3
 520641, 526396, 457927, 542073, 520641, 444937, 555063,   5755, 987010, 320234,WhiteLakeTownshipPrecinct7
 520950, 526817, 457484, 542516, 520950, 444548, 555452,   5867, 987064, 322138,WhiteLakeTownshipPrecinct8
 521037, 527054, 457189, 542811, 521037, 444152, 555848,   6017, 986963, 330594,AuburnHillsPrecinct2
 521084, 518177, 467813, 532187, 521084, 448563, 551437,  -2907, 980750,  62961,CommerceTownshipPrecinct9
 521104, 527010, 457248, 542752, 521104, 444304, 555696,   5906, 987056, 323787,WhiteLakeTownshipPrecinct9
 521237, 526951, 457206, 542794, 521237, 444504, 555496,   5714, 987298, 299403,WestBloomfieldTownshipPrecinct20
 521422, 527369, 456893, 543107, 521422, 443902, 556098,   5947, 987009, 325542,WhiteLakeTownshipPrecinct10
 521827, 527852, 456395, 543605, 521827, 443360, 556640,   6025, 986965, 329488,AuburnHillsPrecinct1
 521847, 527544, 456592, 543408, 521847, 443921, 556079,   5697, 987329, 298244,WestBloomfieldTownshipPrecinct19
 521909, 518853, 467162, 532838, 521909, 447622, 552378,  -3056, 980460,  64789,CommerceTownshipPrecinct10
 521932, 527948, 456310, 543690, 521932, 443335, 556665,   6016, 987025, 327481,WhiteLakeTownshipPrecinct11
 521977, 527986, 456288, 543712, 521977, 443244, 556756,   6009, 986956, 328656,WhiteLakeTownshipPrecinct12
 522075, 518786, 467188, 532812, 522075, 447393, 552607,  -3289, 980205,  66883,CommerceTownshipPrecinct11
 522180, 519372, 466430, 533570, 522180, 446616, 553384,  -2808, 980186,  71211,CommerceTownshipPrecinct14
 522344, 519197, 466744, 533256, 522344, 447083, 552917,  -3147, 980339,  68003,CommerceTownshipPrecinct12
 522579, 519251, 466580, 533420, 522579, 446600, 553400,  -3328, 980020,  70020,CommerceTownshipPrecinct13
 523261, 528973, 455116, 544884, 523261, 442460, 557540,   5712, 987344, 296544,WestBloomfieldTownshipPrecinct18
 523284, 520524, 465207, 534793, 523284, 445266, 554734,  -2760, 980059,  72817,CommerceTownshipPrecinct15
 523635, 529323, 454703, 545297, 523635, 442073, 557927,   5688, 987370, 295001,WestBloomfieldTownshipPrecinct17
 524840, 530599, 453363, 546637, 524840, 440814, 559186,   5759, 987451, 293089,WestBloomfieldTownshipPrecinct16
 525190, 522888, 462823, 537177, 525190, 443388, 556612,  -2302, 980565,  73836,GrovelandTownshipPrecinct1
 525573, 531365, 452581, 547419, 525573, 440126, 559874,   5792, 987545, 291048,WestBloomfieldTownshipPrecinct15
 525727, 535907, 450592, 549408, 525727, 441850, 558150,  10180, 991258,   9037,BloomfieldTownshipPrecinct3
 526719, 525215, 460475, 539525, 526719, 441695, 558305,  -1504, 981220,  75131,GrovelandTownshipPrecinct2
 527007, 532834, 451069, 548931, 527007, 438628, 561372,   5827, 987559, 287273,WestBloomfieldTownshipPrecinct13
 527023, 532785, 451105, 548895, 527023, 438621, 561379,   5762, 987516, 288784,WestBloomfieldTownshipPrecinct14
 528198, 534110, 449730, 550270, 528198, 437395, 562605,   5912, 987665, 285531,WestBloomfieldTownshipPrecinct12
 529195, 527954, 457597, 542403, 529195, 439243, 560757,  -1241, 981646,  76552,GrovelandTownshipPrecinct3
 529990, 535897, 447863, 552137, 529990, 435598, 564402,   5907, 987735, 283571,WestBloomfieldTownshipPrecinct11
 531325, 537177, 446544, 553456, 531325, 434286, 565714,   5852, 987742, 281784,WestBloomfieldTownshipPrecinct10
 532399, 531221, 454242, 545758, 532399, 435941, 564059,  -1178, 981699,  78905,HighlandTownshipPrecinct1
 532530, 538515, 445178, 554822, 532530, 433017, 566983,   5985, 987839, 279663,WestBloomfieldTownshipPrecinct9
 533742, 539699, 443997, 556003, 533742, 431828, 568172,   5957, 987831, 278166,WestBloomfieldTownshipPrecinct8
 534200, 540423, 443246, 556754, 534200, 431263, 568737,   6223, 988017, 276063,WestBloomfieldTownshipPrecinct7
 534764, 534306, 451071, 548929, 534764, 433177, 566823,   -458, 982106,  80699,HighlandTownshipPrecinct2
 535244, 541432, 442220, 557780, 535244, 430245, 569755,   6188, 988025, 274727,WestBloomfieldTownshipPrecinct6
 535337, 535227, 450055, 549945, 535337, 432196, 567804,   -110, 982141,  81810,HighlandTownshipPrecinct3
 536140, 542310, 441279, 558721, 536140, 429340, 570660,   6170, 988061, 273063,WestBloomfieldTownshipPrecinct5
 536163, 536318, 448929, 551071, 536163, 431181, 568819,    155, 982252,  83786,HighlandTownshipPrecinct4
 536684, 542958, 440598, 559402, 536684, 428725, 571275,   6274, 988127, 271120,WestBloomfieldTownshipPrecinct4
 537492, 543931, 439668, 560332, 537492, 427876, 572124,   6439, 988208, 269148,WestBloomfieldTownshipPrecinct3
 537733, 537909, 447436, 552564, 537733, 429643, 570357,    176, 982207,  85031,HighlandTownshipPrecinct5
 537836, 544237, 439340, 560660, 537836, 427545, 572455,   6401, 988205, 268243,WestBloomfieldTownshipPrecinct2
 537873, 544310, 439240, 560760, 537873, 427523, 572477,   6437, 988283, 266271,WestBloomfieldTownshipPrecinct1
 539287, 545642, 437877, 562123, 539287, 426129, 573871,   6355, 988252, 264382,WaterfordTownshipPrecinct21
 539490, 540112, 445160, 554840, 539490, 427702, 572298,    622, 982542,  86780,HighlandTownshipPrecinct6
 539700, 545962, 437580, 562420, 539700, 425831, 574169,   6262, 988251, 262388,WaterfordTownshipPrecinct20
 540067, 546187, 437384, 562616, 540067, 425551, 574449,   6120, 988167, 260112,WaterfordTownshipPrecinct19
 540251, 542641, 442228, 557772, 540251, 426352, 573648,   2390, 984124,  92468,HollyTownshipPrecinct2
 540412, 546491, 437117, 562883, 540412, 425221, 574779,   6079, 988104, 258077,WaterfordTownshipPrecinct18
 540675, 546774, 436830, 563170, 540675, 425002, 574998,   6099, 988172, 256248,WaterfordTownshipPrecinct17
 540716, 542332, 442691, 557309, 540716, 426120, 573880,   1616, 983429,  90946,HollyTownshipPrecinct1
 540767, 541676, 443591, 556409, 540767, 426143, 573857,    909, 982552,  87975,HighlandTownshipPrecinct7
 541072, 546898, 436749, 563251, 541072, 424784, 575216,   5826, 988035, 251650,WaterfordTownshipPrecinct15
 541078, 547064, 436571, 563429, 541078, 424662, 575338,   5986, 988091, 254096,WaterfordTownshipPrecinct16
 541356, 544474, 440402, 559598, 541356, 425151, 574849,   3118, 984749,  94291,HollyTownshipPrecinct3
 541388, 542093, 443096, 556904, 541388, 425631, 574369,    705, 982535,  89265,HighlandTownshipPrecinct8
 541956, 545405, 439478, 560522, 541956, 424653, 575347,   3449, 985175,  96255,HollyTownshipPrecinct4
 542287, 547888, 435808, 564192, 542287, 423731, 576269,   5601, 987923, 249580,WaterfordTownshipPrecinct14
 542480, 545489, 438441, 561559, 542480, 424801, 575199,   3009, 986360, 212391,SouthfieldTownshipPrecinct10
 542921, 546008, 437935, 562065, 542921, 424319, 575681,   3087, 986384, 211515,SouthfieldTownshipPrecinct9
 542955, 546005, 437947, 562053, 542955, 424357, 575643,   3050, 986410, 213756,SpringfieldTownshipPrecinct1
 543140, 548546, 435144, 564856, 543140, 422968, 577032,   5406, 987824, 247711,WaterfordTownshipPrecinct13
 543260, 546821, 438023, 561977, 543260, 423476, 576524,   3561, 985453,  98577,IndependenceTownshipPrecinct1
 543304, 546441, 437534, 562466, 543304, 424005, 575995,   3137, 986471, 215174,SpringfieldTownshipPrecinct2
 543521, 548718, 434995, 565005, 543521, 422680, 577320,   5197, 987685, 245554,WaterfordTownshipPrecinct12
 543878, 547666, 437092, 562908, 543878, 422788, 577212,   3788, 985696, 100322,IndependenceTownshipPrecinct2
 543892, 547081, 436869, 563131, 543892, 423357, 576643,   3189, 986488, 210413,SouthfieldTownshipPrecinct8
 543911, 549026, 434715, 565285, 543911, 422332, 577668,   5115, 987617, 243398,WaterfordTownshipPrecinct11
 543933, 547266, 436692, 563308, 543933, 423370, 576630,   3333, 986678, 216940,SpringfieldTownshipPrecinct3
 543995, 547492, 436455, 563545, 543995, 423245, 576755,   3497, 986790, 218171,SpringfieldTownshipPrecinct4
 544568, 548026, 435946, 564054, 544568, 422769, 577231,   3458, 986823, 219763,SpringfieldTownshipPrecinct5
 544644, 549615, 434176, 565824, 544644, 421786, 578214,   4971, 987610, 240195,WaterfordTownshipPrecinct9
 544691, 548217, 435777, 564223, 544691, 422659, 577341,   3526, 986882, 221237,SpringfieldTownshipPrecinct6
 544726, 549662, 434111, 565889, 544726, 421687, 578313,   4936, 987576, 241468,WaterfordTownshipPrecinct10
 544815, 549642, 434141, 565859, 544815, 421639, 578361,   4827, 987498, 238042,WaterfordTownshipPrecinct8
 544906, 549541, 434309, 565691, 544906, 421642, 578358,   4635, 987333, 236046,WaterfordTownshipPrecinct7
 544939, 548570, 436123, 563877, 544939, 421923, 578077,   3631, 985800, 102182,IndependenceTownshipPrecinct3
 544943, 548846, 434980, 565020, 544943, 421997, 578003,   3903, 987017, 227231,WaterfordTownshipPrecinct3
 544992, 548541, 435425, 564575, 544992, 422342, 577658,   3549, 986917, 222038,SpringfieldTownshipPrecinct7
 545090, 548790, 435067, 564933, 545090, 422012, 577988,   3700, 986945, 225126,WaterfordTownshipPrecinct2
 545108, 548667, 435287, 564713, 545108, 422168, 577832,   3559, 986881, 222807,WaterfordTownshipPrecinct1
 545130, 549559, 434273, 565727, 545130, 421568, 578432,   4429, 987295, 233931,WaterfordTownshipPrecinct6
 545199, 549359, 434500, 565500, 545199, 421674, 578326,   4160, 987174, 229307,WaterfordTownshipPrecinct4
 545241, 548507, 435419, 564581, 545241, 421971, 578029,   3266, 986552, 209102,SouthfieldTownshipPrecinct7
 545295, 549485, 434361, 565639, 545295, 421508, 578492,   4190, 987147, 231777,WaterfordTownshipPrecinct5
 545589, 549309, 435256, 564744, 545589, 421736, 578264,   3720, 986480, 110211,IndependenceTownshipPrecinct7
 545682, 549055, 434877, 565123, 545682, 421520, 578480,   3373, 986643, 208132,SouthfieldTownshipPrecinct6
 546030, 549473, 435099, 564901, 546030, 420961, 579039,   3443, 985862, 103974,IndependenceTownshipPrecinct4
 546288, 549980, 434586, 565414, 546288, 421022, 578978,   3692, 986436, 108082,IndependenceTownshipPrecinct6
 546342, 550061, 434579, 565421, 546342, 421133, 578867,   3719, 986554, 111853,IndependenceTownshipPrecinct8
 546731, 550114, 434439, 565561, 546731, 420483, 579517,   3383, 986044, 106116,IndependenceTownshipPrecinct5
 546809, 550513, 433385, 566615, 546809, 420278, 579722,   3704, 986893, 206313,SouthfieldTownshipPrecinct5
 547231, 551233, 433261, 566739, 547231, 420220, 579780,   4002, 986959, 115706,IndependenceTownshipPrecinct10
 547260, 552307, 431969, 568031, 547260, 419847, 580153,   5047, 987878, 120270,IndependenceTownshipPrecinct13
 547329, 552417, 431891, 568109, 547329, 419694, 580306,   5088, 987803, 122239,LyonTownshipPrecinct1
 547416, 552527, 431788, 568212, 547416, 419578, 580422,   5111, 987790, 122678,LyonTownshipPrecinct2
 547475, 552223, 432133, 567867, 547475, 419715, 580285,   4748, 987582, 118778,IndependenceTownshipPrecinct12
 547506, 551006, 433626, 566374, 547506, 420127, 579873,   3500, 986501, 114006,IndependenceTownshipPrecinct9
 547625, 552683, 431627, 568373, 547625, 419262, 580738,   5058, 987635, 124545,LyonTownshipPrecinct3
 547626, 552200, 432192, 567808, 547626, 419675, 580325,   4574, 987483, 117834,IndependenceTownshipPrecinct11
 548092, 553143, 431157, 568843, 548092, 418748, 581252,   5051, 987591, 126121,LyonTownshipPrecinct4
 548106, 551948, 431937, 568063, 548106, 418963, 581037,   3842, 987026, 205106,SouthfieldTownshipPrecinct4
 548412, 553418, 430853, 569147, 548412, 418304, 581696,   5006, 987451, 128055,LyonTownshipPrecinct5
 548817, 552902, 430979, 569021, 548817, 418205, 581795,   4085, 987226, 203931,SouthfieldTownshipPrecinct3
 549480, 553674, 430190, 569810, 549480, 417534, 582466,   4194, 987344, 203152,SouthfieldTownshipPrecinct2
 549570, 553440, 430820, 569180, 549570, 417237, 582763,   3870, 986417, 133617,LyonTownshipPrecinct9
 549584, 553895, 430434, 569566, 549584, 417232, 582768,   4311, 986798, 131272,LyonTownshipPrecinct7
 549785, 554178, 430135, 569865, 549785, 417001, 582999,   4393, 986866, 130882,LyonTownshipPrecinct6
 549802, 554008, 430291, 569709, 549802, 417020, 582980,   4206, 986729, 131720,LyonTownshipPrecinct8
 550328, 554100, 430217, 569783, 550328, 416459, 583541,   3772, 986242, 135192,MilfordTownshipPrecinct1
 550382, 554625, 429213, 570787, 550382, 416608, 583392,   4243, 987395, 202221,SouthfieldTownshipPrecinct1
 550402, 553281, 430965, 569035, 550402, 416431, 583569,   2879, 985466, 145181,NoviTownshipPrecinct1
 550454, 553371, 430890, 569110, 550454, 416351, 583649,   2917, 985461, 145060,MilfordTownshipPrecinct8
 550641, 553412, 430900, 569100, 550641, 416235, 583765,   2771, 985335, 146876,OaklandTownshipPrecinct1
 550803, 553781, 430180, 569820, 550803, 416419, 583581,   2978, 986239, 184367,OxfordTownshipPrecinct1
 550851, 553884, 430440, 569560, 550851, 416008, 583992,   3033, 985568, 148699,OaklandTownshipPrecinct2
 550870, 554660, 429651, 570349, 550870, 415927, 584073,   3790, 986276, 136406,MilfordTownshipPrecinct2
 550882, 553706, 430248, 569752, 550882, 416419, 583581,   2824, 986171, 182304,OrionTownshipPrecinct15
 550882, 553885, 430400, 569600, 550882, 415916, 584084,   3003, 985516, 143880,MilfordTownshipPrecinct7
 550975, 554255, 429638, 570362, 550975, 416135, 583865,   3280, 986497, 185961,OxfordTownshipPrecinct2
 551229, 555534, 428300, 571700, 551229, 415764, 584236,   4305, 987464, 201417,RoyalOakTownshipPrecinct2
 551294, 554149, 429756, 570244, 551294, 416025, 583975,   2855, 986269, 180751,OrionTownshipPrecinct14
 551392, 554002, 430387, 569613, 551392, 415810, 584190,   2610, 985423, 152911,OaklandTownshipPrecinct5
 551411, 554743, 429040, 570960, 551411, 415650, 584350,   3332, 986610, 188206,OxfordTownshipPrecinct3
 551490, 554481, 429905, 570095, 551490, 415474, 584526,   2991, 985569, 149747,OaklandTownshipPrecinct3
 551531, 554398, 429508, 570492, 551531, 415747, 584253,   2867, 986239, 179638,OrionTownshipPrecinct13
 551617, 554764, 429538, 570462, 551617, 415200, 584800,   3147, 985662, 142064,MilfordTownshipPrecinct6
 551648, 555213, 429172, 570828, 551648, 415290, 584710,   3565, 986118, 138019,MilfordTownshipPrecinct3
 551775, 554696, 429321, 570679, 551775, 415626, 584374,   2921, 986305, 178018,OrionTownshipPrecinct12
 552046, 555549, 428769, 571231, 552046, 414811, 585189,   3503, 986042, 139280,MilfordTownshipPrecinct4
 552065, 555701, 428019, 571981, 552065, 414921, 585079,   3636, 986902, 191711,OxfordTownshipPrecinct5
 552083, 555536, 428205, 571795, 552083, 414983, 585017,   3453, 986778, 190299,OxfordTownshipPrecinct4
 552147, 554966, 429437, 570563, 552147, 414893, 585107,   2819, 985456, 151128,OaklandTownshipPrecinct4
 552167, 554967, 429075, 570925, 552167, 415323, 584677,   2800, 986248, 176412,OrionTownshipPrecinct11
 552239, 555583, 428681, 571319, 552239, 414524, 585476,   3344, 985843, 140573,MilfordTownshipPrecinct5
 552279, 554818, 429596, 570404, 552279, 415102, 584898,   2539, 985506, 154764,OaklandTownshipPrecinct6
 552303, 554904, 429161, 570839, 552303, 415285, 584715,   2601, 986124, 175342,OrionTownshipPrecinct10
 552584, 555153, 428959, 571041, 552584, 415039, 584961,   2569, 986080, 173986,OrionTownshipPrecinct9
 552955, 557273, 426527, 573473, 552955, 414025, 585975,   4318, 987498, 200763,RoyalOakTownshipPrecinct1
 553020, 556837, 426872, 573128, 553020, 413959, 586041,   3817, 987087, 193606,OxfordTownshipPrecinct6
 553113, 555770, 428406, 571594, 553113, 414478, 585522,   2657, 986072, 171963,OrionTownshipPrecinct8
 553199, 555353, 429158, 570842, 553199, 414440, 585560,   2154, 985282, 156956,OaklandTownshipPrecinct7
 553428, 557292, 426455, 573545, 553428, 413617, 586383,   3864, 987162, 195908,OxfordTownshipPrecinct7
 553439, 555757, 428582, 571418, 553439, 414182, 585818,   2318, 985600, 161745,OrionTownshipPrecinct2
 553459, 555597, 428854, 571146, 553459, 414213, 585787,   2138, 985359, 159961,OrionTownshipPrecinct1
 553460, 556206, 427998, 572002, 553460, 414144, 585856,   2746, 986146, 170426,OrionTownshipPrecinct7
 553521, 555555, 428986, 571014, 553521, 414267, 585733,   2034, 985281, 158301,OaklandTownshipPrecinct8
 553673, 556078, 428245, 571755, 553673, 413964, 586036,   2405, 985719, 163432,OrionTownshipPrecinct3
 553726, 557680, 426072, 573928, 553726, 413292, 586708,   3954, 987220, 197025,RoseTownshipPrecinct1
 553909, 556391, 427834, 572166, 553909, 413736, 586264,   2482, 985902, 168820,OrionTownshipPrecinct6
 554055, 556523, 427718, 572282, 554055, 413544, 586456,   2468, 985826, 167283,OrionTownshipPrecinct5
 554159, 556663, 427612, 572388, 554159, 413460, 586540,   2504, 985848, 165353,OrionTownshipPrecinct4
 554349, 558456, 425308, 574692, 554349, 412690, 587310,   4107, 987382, 198456,RoseTownshipPrecinct2
 554938, 559248, 424545, 575455, 554938, 412070, 587930,   4310, 987525, 199995,RoseTownshipPrecinct3
 561697, 575483, 411001, 588999, 561697, 405325, 594675,  13786, 994324,   7399,BloomfieldTownshipPrecinct2
 618260, 637670, 349029, 650971, 618260, 347052, 652948,  19410, 998023,   5564,BloomfieldTownshipPrecinct1
 667294, 689647, 295764, 704236, 667294, 299294, 700706,  22353,1003530,   4250,AddisonTownshipPrecinct3
 675446, 695515, 288805, 711195, 675446, 291627, 708373,  20069,1002822,   3189,AddisonTownshipPrecinct2
 682219, 708070, 276796, 723204, 682219, 281841, 718159,  25851,1005045,   1586,AddisonTownshipPrecinct1
