ppmOrdering,ppmRepPotus,ppmDemPotus,1M-ppmDemPotus,ppmRepOther,ppmDemOther,1M-ppmDemOther,ppmRepShift,1M-ppmDemShift,totalBallots,locality
 442143, 445933, 538375, 461625, 442143, 522419, 477581,   3790, 984044, 578156,RochesterHillsPrecinct6
 442199, 445986, 538315, 461685, 442199, 522380, 477620,   3787, 984065, 579042,RochesterHillsPrecinct7
 442296, 446000, 538310, 461690, 442296, 522400, 477600,   3704, 984090, 583028,RochesterHillsPrecinct10
 442306, 446082, 538225, 461775, 442306, 522310, 477690,   3776, 984085, 579881,RochesterHillsPrecinct8
 442354, 446099, 538204, 461796, 442354, 522306, 477694,   3745, 984102, 584278,RochesterHillsPrecinct11
 442398, 446131, 538177, 461823, 442398, 522268, 477732,   3733, 984091, 581797,RochesterHillsPrecinct9
 442628, 446404, 537903, 462097, 442628, 522049, 477951,   3776, 984146, 586040,RochesterHillsPrecinct12
 442635, 446475, 537797, 462203, 442635, 521679, 478321,   3840, 983882, 559110,PontiacPrecinct19
 442660, 446144, 538219, 461781, 442660, 522467, 477533,   3484, 984248, 622986,RoyalOakPrecinct5
 442859, 446619, 537703, 462297, 442859, 521827, 478173,   3760, 984124, 587355,RochesterHillsPrecinct13
 442947, 446437, 537922, 462078, 442947, 522195, 477805,   3490, 984273, 621740,RoyalOakPrecinct4
 442982, 446699, 537626, 462374, 442982, 521750, 478250,   3717, 984124, 589333,RochesterHillsPrecinct14
 443064, 446848, 537473, 462527, 443064, 521652, 478348,   3784, 984179, 590688,RochesterHillsPrecinct15
 443175, 446991, 537310, 462690, 443175, 521531, 478469,   3816, 984221, 592557,RochesterHillsPrecinct16
 443223, 446991, 537305, 462695, 443223, 521521, 478479,   3768, 984216, 594528,RochesterHillsPrecinct17
 443255, 446747, 537615, 462385, 443255, 521904, 478096,   3492, 984289, 620322,RoyalOakPrecinct3
 443410, 447140, 537153, 462847, 443410, 521369, 478631,   3730, 984216, 595764,RochesterHillsPrecinct18
 443435, 446954, 537428, 462572, 443435, 521738, 478262,   3519, 984310, 618985,RoyalOakPrecinct2
 443439, 447251, 537010, 462990, 443439, 520882, 479118,   3812, 983872, 557957,PontiacPrecinct18
 443583, 447288, 537015, 462985, 443583, 521263, 478737,   3705, 984248, 597912,RochesterHillsPrecinct20
 443600, 447297, 537001, 462999, 443600, 521211, 478789,   3697, 984210, 596909,RochesterHillsPrecinct19
 443698, 447487, 536777, 463223, 443698, 520643, 479357,   3789, 983866, 557354,PontiacPrecinct17
 443769, 447282, 537123, 462877, 443769, 521441, 478559,   3513, 984318, 617095,RoyalOakPrecinct1
 443917, 447558, 536764, 463236, 443917, 521009, 478991,   3641, 984245, 601810,RochesterHillsPrecinct23
 443917, 447601, 536717, 463283, 443917, 520958, 479042,   3684, 984241, 599600,RochesterHillsPrecinct21
 443930, 447581, 536741, 463259, 443930, 520975, 479025,   3651, 984234, 600727,RochesterHillsPrecinct22
 443965, 447626, 536710, 463290, 443965, 521002, 478998,   3661, 984292, 603277,RochesterHillsPrecinct24
 444061, 447835, 536438, 463562, 444061, 520292, 479708,   3774, 983854, 556450,PontiacPrecinct16
 444119, 447734, 536610, 463390, 444119, 520892, 479108,   3615, 984282, 605146,RochesterHillsPrecinct25
 444130, 447695, 536701, 463299, 444130, 521035, 478965,   3565, 984334, 613995,RochesterHillsPrecinct31
 444138, 447669, 536711, 463289, 444138, 521040, 478960,   3531, 984329, 612780,RochesterHillsPrecinct30
 444154, 447685, 536706, 463294, 444154, 520996, 479004,   3531, 984290, 609993,RochesterHillsPrecinct28
 444181, 447738, 536665, 463335, 444181, 521014, 478986,   3557, 984349, 615415,RochesterHillsPrecinct32
 444185, 447722, 536662, 463338, 444185, 520977, 479023,   3537, 984315, 610894,RochesterHillsPrecinct29
 444303, 447819, 536545, 463455, 444303, 520798, 479202,   3516, 984253, 607195,RochesterHillsPrecinct26
 444317, 447828, 536554, 463446, 444317, 520820, 479180,   3511, 984266, 608680,RochesterHillsPrecinct27
