ordering,ppmRepPotus,ppmDemPotus,1M-ppmDemPotus,ppmRepOther,ppmDemOther,1M-ppmDemOther,BonusToTrump,BonusToBiden,totalBallots,locality
 266961, 720995, 266961, 733039, 704536, 270172, 729828, 664590, 467890,   2491,AddisonTownshipPrecinct1
 273644, 713692, 273644, 726356, 701028, 275425, 724575, 626640, 482190,   5054,AddisonTownshipPrecinct2
 279326, 708749, 279326, 720674, 694589, 281562, 718438, 641600, 477640,   6709,AddisonTownshipPrecinct3
 334430, 654330, 334430, 665570, 642070, 333181, 666819, 622600, 512490,   8809,BloomfieldTownshipPrecinct1
 397965, 590749, 397965, 602035, 582029, 394374, 605626, 587200, 535910,  11697,BloomfieldTownshipPrecinct2
 404276, 581802, 404276, 595724, 579010, 396195, 603805, 527920, 580810, 308739,RoseTownshipPrecinct3
 405083, 580978, 405083, 594917, 578318, 396909, 603091, 526600, 581740, 306352,RoseTownshipPrecinct2
 405838, 580223, 405838, 594162, 577661, 397559, 602441, 525620, 582790, 304133,RoseTownshipPrecinct1
 406202, 579866, 406202, 593798, 577363, 397886, 602114, 525030, 583160, 302428,OxfordTownshipPrecinct7
 406626, 579447, 406626, 593374, 576651, 398531, 601469, 527960, 580950, 310078,RoyalOakTownshipPrecinct1
 406671, 579370, 406671, 593329, 576897, 398307, 601693, 524730, 583640, 298897,OxfordTownshipPrecinct6
 407661, 578931, 407661, 592339, 577313, 398517, 601483, 516180, 591440, 255906,OrionTownshipPrecinct4
 407698, 578874, 407698, 592302, 577279, 398537, 601463, 515950, 591610, 258821,OrionTownshipPrecinct5
 407773, 578797, 407773, 592227, 577192, 398657, 601343, 516050, 591160, 261074,OrionTownshipPrecinct6
 407858, 578187, 407858, 592142, 575832, 399374, 600626, 523550, 584840, 295980,OxfordTownshipPrecinct5
 408037, 578033, 408037, 591963, 575796, 399472, 600528, 522370, 585650, 293760,OxfordTownshipPrecinct4
 408056, 578477, 408056, 591944, 576701, 399097, 600903, 517760, 589590, 263542,OrionTownshipPrecinct7
 408279, 578365, 408279, 591721, 576812, 399054, 600946, 515530, 592250, 253018,OrionTownshipPrecinct3
 408359, 578148, 408359, 591641, 576429, 399351, 600649, 517190, 590080, 265866,OrionTownshipPrecinct8
 408730, 577928, 408730, 591270, 576431, 399430, 600570, 514970, 593000, 250434,OrionTownshipPrecinct2
 408738, 577368, 408738, 591262, 574582, 400625, 599375, 527860, 581130, 311238,RoyalOakTownshipPrecinct2
 408856, 577584, 408856, 591144, 575922, 399851, 600149, 516620, 590050, 268965,OrionTownshipPrecinct9
 408914, 577456, 408914, 591086, 575643, 400013, 599987, 518130, 589010, 272573,OrionTownshipPrecinct11
 408924, 577183, 408924, 591076, 575025, 400252, 599748, 521580, 586720, 290594,OxfordTownshipPrecinct3
 408995, 577789, 408995, 591005, 576408, 399539, 600461, 513810, 594560, 247675,OrionTownshipPrecinct1
 409004, 577410, 409004, 590996, 575727, 400025, 599975, 516830, 589790, 270965,OrionTownshipPrecinct10
 409103, 577759, 409103, 590897, 576446, 399601, 600399, 513130, 595020, 245192,OaklandTownshipPrecinct8
 409236, 577107, 409236, 590764, 575216, 400370, 599630, 518910, 588660, 274973,OrionTownshipPrecinct12
 409317, 577525, 409317, 590683, 576135, 399814, 600186, 513900, 595030, 243068,OaklandTownshipPrecinct7
 409373, 577184, 409373, 590627, 575024, 400227, 599773, 521600, 591460, 217596,MilfordTownshipPrecinct5
 409392, 576864, 409392, 590608, 575008, 400482, 599518, 518560, 589100, 277443,OrionTownshipPrecinct13
 409518, 577077, 409518, 590482, 574814, 400501, 599499, 522630, 590170, 215607,MilfordTownshipPrecinct4
 409552, 576701, 409552, 590448, 574852, 400658, 599342, 518490, 588940, 279068,OrionTownshipPrecinct14
 409565, 576617, 409565, 590435, 574493, 400822, 599178, 521240, 587430, 287192,OxfordTownshipPrecinct2
 409641, 576464, 409641, 590359, 573718, 401483, 598517, 527460, 581580, 312439,SouthfieldTownshipPrecinct1
 409816, 576892, 409816, 590184, 575071, 400419, 599581, 518210, 593970, 233917,OaklandTownshipPrecinct4
 409882, 576881, 409882, 590118, 575240, 400520, 599480, 516410, 593620, 239571,OaklandTownshipPrecinct6
 409963, 576668, 409963, 590037, 574365, 400996, 599004, 523030, 589670, 213653,MilfordTownshipPrecinct3
 410095, 576174, 410095, 589905, 574246, 401183, 598817, 519280, 589120, 284695,OxfordTownshipPrecinct1
 410121, 576139, 410121, 589879, 574309, 401165, 598835, 518300, 589560, 281470,OrionTownshipPrecinct15
 410179, 576404, 410179, 589821, 574371, 400915, 599085, 520330, 592640, 219882,MilfordTownshipPrecinct6
 410409, 576287, 410409, 589591, 574354, 401085, 598915, 519330, 593240, 231761,OaklandTownshipPrecinct3
 410497, 576061, 410497, 589503, 573612, 401631, 598369, 524490, 588660, 211139,MilfordTownshipPrecinct2
 410602, 575520, 410602, 589398, 572805, 402410, 597590, 527150, 581920, 313829,SouthfieldTownshipPrecinct2
 410736, 575983, 410736, 589264, 574297, 401319, 598681, 516860, 594170, 236677,OaklandTownshipPrecinct5
 410961, 575593, 410961, 589039, 573653, 401603, 598397, 519400, 593580, 222685,MilfordTownshipPrecinct7
 411034, 575526, 411034, 588966, 573088, 402142, 597858, 524380, 588920, 209177,MilfordTownshipPrecinct1
 411062, 575570, 411062, 588938, 573611, 401737, 598263, 519590, 593250, 230128,OaklandTownshipPrecinct2
 411209, 575309, 411209, 588791, 572472, 402727, 597273, 528370, 584820, 202663,LyonTownshipPrecinct6
 411345, 575173, 411345, 588655, 572457, 402775, 597225, 527160, 585700, 203982,LyonTownshipPrecinct8
 411354, 574781, 411354, 588646, 572136, 403083, 596917, 526450, 582710, 314972,SouthfieldTownshipPrecinct3
 411435, 575159, 411435, 588565, 573369, 401958, 598042, 517900, 594770, 227302,OaklandTownshipPrecinct1
 411497, 575050, 411497, 588503, 573166, 402103, 597897, 518840, 593940, 224502,MilfordTownshipPrecinct8
 411509, 575025, 411509, 588491, 572240, 402984, 597016, 527850, 585250, 203271,LyonTownshipPrecinct7
 411584, 574957, 411584, 588416, 573096, 402193, 597807, 518610, 593910, 224688,NoviTownshipPrecinct1
 411797, 574702, 411797, 588203, 572202, 403021, 596979, 525000, 587760, 206808,LyonTownshipPrecinct9
 412185, 574273, 412185, 587815, 571039, 404077, 595923, 532340, 581080, 198207,LyonTownshipPrecinct5
 412188, 573956, 412188, 587812, 571467, 403785, 596215, 524890, 584030, 316688,SouthfieldTownshipPrecinct4
 412625, 573850, 412625, 587375, 570586, 404607, 595393, 532640, 580180, 195199,LyonTownshipPrecinct4
 413095, 573394, 413095, 586905, 570125, 405106, 594894, 532690, 579890, 192747,LyonTownshipPrecinct3
 413360, 573139, 413360, 586640, 569835, 405466, 594534, 533040, 578940, 189774,LyonTownshipPrecinct2
 413494, 573008, 413494, 586506, 569718, 405609, 594391, 532900, 578850, 189081,LyonTownshipPrecinct1
 413584, 572896, 413584, 586416, 569633, 405746, 594254, 532630, 578380, 186025,IndependenceTownshipPrecinct13
 413592, 572934, 413592, 586408, 569864, 405563, 594437, 530700, 580290, 183705,IndependenceTownshipPrecinct12
 413640, 572941, 413640, 586360, 569983, 405546, 594454, 529580, 580940, 182221,IndependenceTownshipPrecinct11
 413728, 572424, 413728, 586272, 570026, 405239, 594761, 523980, 584890, 318552,SouthfieldTownshipPrecinct5
 414609, 572084, 414609, 585391, 569496, 406175, 593825, 525880, 584340, 178930,IndependenceTownshipPrecinct10
 414623, 571474, 414623, 585377, 568602, 406386, 593614, 528720, 582370, 360809,WaterfordTownshipPrecinct6
 414630, 571493, 414630, 585370, 568777, 406298, 593702, 527160, 583320, 357528,WaterfordTownshipPrecinct5
 414734, 571329, 414734, 585266, 568200, 406629, 593371, 531290, 581050, 367184,WaterfordTownshipPrecinct8
 414757, 571360, 414757, 585243, 568355, 406544, 593456, 530050, 582130, 364054,WaterfordTownshipPrecinct7
 414768, 572076, 414768, 585232, 569811, 406033, 593967, 522650, 587350, 176202,IndependenceTownshipPrecinct9
 414778, 571381, 414778, 585222, 568684, 406464, 593536, 526970, 583140, 353748,WaterfordTownshipPrecinct4
 414833, 571214, 414833, 585167, 568014, 406779, 593221, 532000, 580540, 372492,WaterfordTownshipPrecinct10
 414856, 571200, 414856, 585144, 567977, 406823, 593177, 532230, 580330, 370490,WaterfordTownshipPrecinct9
 415138, 571047, 415138, 584862, 568863, 406486, 593514, 521840, 586520, 321290,SouthfieldTownshipPrecinct6
 415217, 570933, 415217, 584783, 568534, 406754, 593246, 523990, 584630, 347254,WaterfordTownshipPrecinct2
 415267, 570868, 415267, 584733, 568338, 406850, 593150, 525300, 584170, 350492,WaterfordTownshipPrecinct3
 415319, 570897, 415319, 584681, 568590, 406816, 593184, 523070, 585030, 343745,WaterfordTownshipPrecinct1
 415449, 570775, 415449, 584551, 568475, 406969, 593031, 523000, 584800, 342576,SpringfieldTownshipPrecinct7
 415571, 570423, 415571, 584429, 567108, 407545, 592455, 533150, 580260, 375526,WaterfordTownshipPrecinct11
 415574, 570617, 415574, 584426, 568500, 406861, 593139, 521170, 587130, 322712,SouthfieldTownshipPrecinct7
 415653, 571109, 415653, 584347, 568922, 406628, 593372, 521870, 590250, 164091,IndependenceTownshipPrecinct5
 415787, 570456, 415787, 584213, 568172, 407286, 592714, 522840, 585010, 341379,SpringfieldTownshipPrecinct6
 415797, 570965, 415797, 584203, 568577, 407025, 592975, 523880, 587720, 167110,IndependenceTownshipPrecinct6
 415806, 571024, 415806, 584194, 568618, 407108, 592892, 524060, 586980, 172912,IndependenceTownshipPrecinct8
 415969, 569989, 415969, 584031, 566622, 407988, 592012, 533670, 579810, 378891,WaterfordTownshipPrecinct12
 415993, 570231, 415993, 584007, 567990, 407455, 592545, 522410, 585380, 339171,SpringfieldTownshipPrecinct5
 416265, 569649, 416265, 583735, 566146, 408374, 591626, 535030, 578910, 382242,WaterfordTownshipPrecinct13
 416482, 570276, 416482, 583518, 567870, 407737, 592263, 524060, 587450, 170384,IndependenceTownshipPrecinct7
 416500, 570270, 416500, 583500, 568044, 407357, 592643, 522260, 591430, 160785,IndependenceTownshipPrecinct4
 416520, 569690, 416520, 583480, 567424, 407961, 592039, 522660, 585590, 336723,SpringfieldTownshipPrecinct4
 416730, 569498, 416730, 583270, 567339, 408098, 591902, 521590, 586320, 334833,SpringfieldTownshipPrecinct3
 416985, 569237, 416985, 583015, 567171, 408228, 591772, 520660, 587570, 324671,SouthfieldTownshipPrecinct8
 417115, 568768, 417115, 582885, 565139, 409291, 590709, 536290, 578240, 385229,WaterfordTownshipPrecinct14
 417597, 568651, 417597, 582403, 566618, 408832, 591168, 520330, 587650, 332107,SpringfieldTownshipPrecinct2
 417773, 569049, 417773, 582227, 566701, 408590, 591410, 523480, 591830, 158009,IndependenceTownshipPrecinct3
 417992, 568250, 417992, 582008, 566273, 409185, 590815, 519770, 588070, 329860,SpringfieldTownshipPrecinct1
 418108, 568124, 418108, 581892, 566123, 409284, 590716, 520010, 588240, 326360,SouthfieldTownshipPrecinct9
