ordering,ppmRepPotus,ppmDemPotus,1M-ppmDemPotus,ppmRepOther,ppmDemOther,1M-ppmDemOther,BonusToTrump,BonusToBiden,totalBallots,locality
 713770, 454347, 530434, 469566, 478985, 512318, 487682, 376810, 590580,   1380,SouthfieldTownshipPrecinct10
 718000, 459669, 530052, 469948, 481469, 508252, 491748, 391000, 609000,   3211,WestBloomfieldTownshipPrecinct8
 719715, 301959, 678444, 321556, 324524, 657066, 342934, 387175, 606890,   3368,RoyalOakPrecinct9
 720315, 641929, 346011, 653989, 662801, 322820, 677180, 395640, 615955,   2156,OaklandTownshipPrecinct4
 723015, 494201, 491525, 508475, 519179, 471900, 528100, 375110, 598125,   1121,TroyPrecinct31
 723665, 459836, 530062, 469938, 482924, 508417, 491583, 384560, 608225,   2079,NoviPrecinct23
 724540, 472734, 515637, 484363, 494787, 492782, 507218, 389735, 614275,   2494,NoviPrecinct18
 725850, 346309, 639735, 360265, 367976, 616232, 383768, 391665, 617515,   2723,RoyalOakPrecinct22
 728850, 425827, 562321, 437679, 446260, 536984, 463016, 397835, 626685,   2447,BirminghamPrecinct8
 728860, 323888, 661290, 338710, 346992, 638622, 361378, 384480, 613340,   2294,BerkleyPrecinct7
 729635, 677281, 318432, 681568, 698101, 293325, 706675, 395900, 625535,   1633,OaklandTownshipPrecinct3
 730690, 312231, 675429, 324571, 335836, 652896, 347104, 381975, 612665,   1864,SouthfieldTownshipPrecinct5
 730690, 351053, 640922, 359078, 373788, 617519, 382481, 386325, 617015,   2991,BloomfieldTownshipPrecinct17
 732065, 617440, 364275, 635725, 641350, 341772, 658228, 380450, 612515,    711,LyonTownshipPrecinct8
 732255, 342011, 649310, 350690, 364471, 625319, 374681, 387700, 619955,   1959,SouthfieldTownshipPrecinct8
 732305, 404646, 583468, 416532, 425715, 558076, 441924, 394655, 626960,   1851,RochesterHillsPrecinct10
 732515, 363813, 627198, 372802, 385306, 602188, 397812, 392535, 625050,   2559,RoyalOakPrecinct13
 732560, 406115, 576658, 423342, 429801, 553832, 446168, 381570, 614130,   2322,RochesterPrecinct1
 733545, 540693, 444444, 555556, 563694, 420736, 579264, 384995, 618540,   2826,LyonTownshipPrecinct9
 735180, 599617, 395028, 604972, 621414, 369789, 630211, 391015, 626195,   2615,RochesterPrecinct5
 736705, 545744, 441489, 558511, 570744, 419148, 580852, 375000, 611705,   1880,RochesterHillsPrecinct18
 736895, 441553, 551067, 448933, 465631, 527766, 472234, 379610, 616505,   2575,BloomfieldTownshipPrecinct12
 738545, 354536, 629092, 370908, 377923, 604770, 395230, 383065, 621610,   2138,RoyalOakPrecinct11
 739500, 202099, 785433, 214567, 226377, 761811, 238189, 378610, 618110,   1524,HuntingtonWoodsPrecinct3
 740125, 621409, 367818, 632182, 643402, 341786, 658214, 390035, 630160,   4456,LyonTownshipPrecinct6
 740970, 540877, 442771, 557229, 562392, 416092, 583908, 392425, 633395,   2324,OrionTownshipPrecinct8
 742755, 498913, 488768, 511232, 525362, 466666, 533334, 367755, 610510,   2760,OaklandTownshipPrecinct5
 748330, 474958, 515442, 484558, 501252, 492070, 507930, 368530, 616860,   2396,NoviPrecinct24
 748790, 355790, 624394, 375606, 376926, 595772, 404228, 394320, 643110,   2271,RoyalOakPrecinct12
 749535, 585152, 402994, 597006, 608858, 376793, 623207, 381470, 631005,   1603,NoviPrecinct25
 753955, 342214, 643630, 356370, 368026, 618651, 381349, 370940, 624895,   1201,SouthfieldTownshipPrecinct1
 756965, 291094, 698313, 301687, 317771, 673597, 326403, 366615, 623580,   2549,RoyalOakPrecinct1
 758585, 357979, 629090, 370910, 381818, 601212, 398788, 380805, 639390,   2475,RoyalOakPrecinct10
 758985, 412614, 579985, 420015, 436575, 552149, 447851, 380195, 639180,   2838,TroyPrecinct17
 763790, 431379, 556551, 443449, 454827, 527241, 472759, 382760, 646550,   2900,BloomfieldTownshipPrecinct5
 764900, 491721, 496688, 503312, 521854, 473841, 526159, 349335, 614235,   3020,BloomfieldTownshipPrecinct9
 767410, 455265, 532518, 467482, 481346, 505117, 494883, 369595, 637005,   3029,TroyPrecinct29
 767700, 458261, 531375, 468625, 484168, 503742, 496258, 370465, 638165,   1737,RochesterHillsPrecinct22
 769375, 468164, 518870, 481130, 495822, 492653, 507347, 361710, 631085,   3471,NorthvillePrecinct2
 770665, 358449, 623994, 376006, 389904, 601316, 398684, 342725, 613390,   1367,FarmingtonPrecinct1
 774255, 473277, 514064, 485936, 502109, 488045, 511955, 355840, 630095,   1422,SouthfieldTownshipPrecinct7
 777380, 621675, 370603, 629397, 649699, 343151, 656849, 359880, 637260,   3497,OaklandTownshipPrecinct7
 779460, 473218, 514671, 485329, 501630, 487191, 512809, 357940, 637400,   2147,NoviPrecinct17
 780645, 378087, 608890, 391110, 405029, 579703, 420297, 365290, 645935,   2227,BirminghamPrecinct3
 781605, 515479, 476314, 523686, 543826, 448340, 551660, 358265, 639870,   2681,BloomfieldTownshipPrecinct6
 782980, 445531, 548085, 451915, 471063, 517021, 482979, 372340, 655320,   2350,TroyPrecinct7
 784195, 354055, 634103, 365897, 382474, 605683, 394317, 357905, 642100,   1689,SouthfieldTownshipPrecinct9
 785450, 364529, 628919, 371081, 391202, 598502, 401498, 366635, 652085,   2137,BloomfieldTownshipPrecinct14
 787655, 429916, 559623, 440377, 458158, 530334, 469666, 358790, 646445,   1912,BirminghamPrecinct9
 797110, 492532, 499841, 500159, 524308, 472195, 527805, 341120, 638230,   3147,RochesterHillsPrecinct26
 810585, 371828, 617672, 382328, 398950, 582677, 417323, 364390, 674975,   1143,SouthfieldTownshipPrecinct3
 826310, 458488, 531185, 468815, 493597, 501032, 498968, 324455, 650765,   2421,NoviPrecinct16
 851465, 383963, 603320, 396680, 419286, 568350, 431650, 323385, 674850,   2831,BirminghamPrecinct7
 852550, 418498, 570717, 429283, 452509, 534218, 465782, 329945, 682495,   2411,NoviPrecinct21
 855625, 352802, 634950, 365050, 387187, 598210, 401790, 328075, 683700,   2123,RoyalOakPrecinct14
 860605, 510402, 480813, 519187, 547387, 445677, 554323, 315075, 675680,   2163,BloomfieldHillsPrecinct2
 861390, 449009, 535148, 464852, 485148, 499009, 500991, 319305, 680695,   2020,TroyPrecinct19
 876185, 410883, 579254, 420746, 450328, 543462, 456538, 302775, 678960,   2738,SouthfieldTownshipPrecinct6
 887530, 422494, 565268, 434732, 464452, 529720, 470280, 290210, 677740,   1716,SouthfieldTownshipPrecinct4
 894545, 405377, 583798, 416202, 445879, 545391, 454609, 297490, 692035,   2864,BirminghamPrecinct6
 899200, 503098, 488516, 511484, 544294, 449872, 550128, 294020, 693220,   2743,BloomfieldTownshipPrecinct18
 909795, 489158, 501300, 498700, 531222, 461405, 538595, 289680, 699475,   2306,BloomfieldTownshipPrecinct10
 910435, 492923, 498989, 501011, 535382, 459361, 540639, 287705, 698140,   2473,BirminghamPrecinct1
 932515, 429315, 561473, 438527, 473768, 519423, 480577, 277735, 710250,   2497,BirminghamPrecinct2
 939305, 417726, 570327, 429673, 463198, 527938, 472062, 272640, 711945,   2595,BirminghamPrecinct5
1009275, 504354, 488072, 511928, 558121, 439984, 560016, 231165, 740440,   2641,BirminghamPrecinct4
1034235, 567946, 420902, 579098, 625000, 371109, 628891, 214730, 748965,   3856,BloomfieldTownshipPrecinct16
1049135, 670520, 317919, 682081, 728323, 265895, 734105, 210985, 760120,    346,LakeAngelusPrecinct1
